Designator,Footprint,Quantity,Value,LCSC Part #
C1,402,1,10uF,
"C5, C6",402,2,220 pF,
"C7, C8",402,2,4.7uF,
"D1, D2",805,2,KT-0805G,
DIP1,SW-TH_DSWB06LHGET,1,DIPSWITCH_6PIN,C99416
IC1,TPS259474LRPWR,1,TPS259474LRPWR,
IC2,TO-252-2,1,BD33FC0FP-E2,
J1,USB-TYPE-C-SMD_MC-403L68-Z10,1,USB_C_Receptacle,C47326496
J2,CONN-TH_2P-P5.00_MX126-5.0-GN01-02P-CU-S-A,1,Power_out,C5188434
J3,PinHeader_1x02_P2.54mm_Vertical,1,Data_out,
J5,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04_Pin,
"J6, J7",PinHeader_2x03_P2.54mm_Vertical,2,Conn_02x02_Counter_Clockwise,
JP6,PinHeader_1x02_P2.54mm_Vertical,1,Jumper_2_Open,
JP5,PinHeader_1x03_P2.54mm_Vertical,1,Jumper_3_Open,
"Q1, Q2",DMP3036SFV7,2,DMP3018SFV-7,
R1,402,1,6K,
R10,402,1,200k,
R11,402,1,750k,
R12,402,1,50k,
R13,402,1,6.49k,
R14,402,1,700,
R15,402,1,47k,
R16,402,1,15k,
"R17, R8",402,2,9K1,
"R18, R19, R2",402,3,10K,
R20,402,1,2.2k,
R3,402,1,14K,
R4,402,1,18K,
R5,402,1,10,
R6,402,1,5.1k,
"R7, R9",402,2,49.9k,
SW1,SW-TH_SS-12F44-G5_C2998807,1,Power_out_switch,C2998807
"TP1, TP2, TP3",TestPoint_THTPad_2.0x2.0mm_Drill1.0mm,3,TESTPOINTROUND1.5MMNO,
U1,WDFN-10-1EP_3x3mm_P0.5mm_EP1.8x2.5mm,1,HUSB238_xxxDD,
