Designator,Mid X,Mid Y,Rotation,Layer
C1,43.05375,-22.7,90.0,top
C5,34.175,-33.25,180.0,top
C6,36.925,-38.5,270.0,top
C7,56.25,-35.25,90.0,top
C8,60.6825,-39.5,180.0,top
D1,51.5,-14.5,270.0,top
D2,33.0,-52.0,90.0,top
DIP1,18.25,-21.5,90.0,top
IC1,32.4,-36.975,0.0,top
IC2,63.99,-33.75,0.0,top
J1,42.505,-16.2,180.0,top
J2,42.755,-50.5,0.0,top
J3,59.495,-14.25,90.0,top
J5,65.19,-23.5,270.0,top
J6,20.005,-47.75,0.0,bottom
J7,65.005,-47.75,0.0,bottom
JP1,66.5,-19.85,90.0,top
JP4,69.5,-19.85,90.0,top
JP5,43.75,-38.5,180.0,top
JP6,16.52,-33.0,90.0,top
JP7,15.1,-36.5,0.0,top
Q1,45.0,-30.5,180.0,top
Q2,28.8625,-15.955,0.0,top
R1,29.4,-20.65,0.0,top
R10,31.3275,-33.25,0.0,top
R11,28.425,-35.75,270.0,top
R12,28.425,-38.5975,90.0,top
R13,36.925,-35.5,90.0,top
R14,38.675,-35.5,270.0,top
R15,31.3275,-40.75,0.0,top
R16,34.175,-40.75,0.0,top
R17,32.75,-48.4275,90.0,top
R18,69.5,-16.4025,90.0,top
R19,66.5,-16.4025,90.0,top
R2,29.4,-22.85,0.0,top
R20,39.505,-39.635,90.0,top
R3,29.4,-25.05,0.0,top
R4,29.3025,-27.25,0.0,top
R5,44.80375,-22.7,90.0,top
R6,43.05375,-25.8525,90.0,top
R7,44.80375,-25.8525,270.0,top
R8,51.5,-18.4025,270.0,top
R9,32.5375,-16.8575,270.0,top
SW1,53.5,-48.0,270.0,top
TP1,18.5,-38.0,180.0,top
TP2,48.5,-23.0,0.0,top
TP3,40.75,-29.0,0.0,top
U1,39.42875,-23.75,270.0,top
